FOLDER & FILE,START FRAME,END FRAME,ACTION,BOX-start: x,BOX-start: y,BOX-start: w,BOX-start: h,BOX-end: x,BOX-end: y,BOX-end: w,BOX-end: h,CAMERA ANGLE,MID frame,BOX-mid: x,BOX-mid: y,BOX-mid: w,BOX-mid: h
archery/10157___9040036fdf2c4e8296c38232cf30c6f4.mp4,12,177,archery,0.18761,0.0015866,0.69039,1.0249,0.15914,-0.011067,0.79359,1.0249,Mixed,,,,,
archery/1149___e5db4057ca864c4ca0a633894db9ee1c.mp4,44,188,archery,0.1805,0.052199,0.69395,0.7845,0.095087,0.052199,0.84698,0.7845,Side,,,,,
archery/1149___e5db4057ca864c4ca0a633894db9ee1c.mp4,474,562,archery,0.10932,0.064853,0.76512,0.76552,0.0595,0.090159,0.75801,0.76552,Side,,,,,
archery/1570___89a551f54cc84f25a2bae0f9e92d4f82.mp4,70,239,archery,0.017762,0.15127,0.94498,0.82524,0.11269,0.17392,0.863,0.82524,Back,,,,,
archery/1570___89a551f54cc84f25a2bae0f9e92d4f82.mp4,724,864,archery,0.056597,0.13185,0.94067,0.8835,0.18605,0.1092,0.79827,0.8835,Back,,,,,
archery/1706___8aead148f6464a75bd611780052e3297.mp4,1,60,archery,0.0094252,0.15015,0.99511,0.77358,0.026197,0.21619,0.97834,0.77358,Side,,,,,
archery/1939___51323a75e10f477f8ab7445351523097.mp4,30,115,archery,0.23032,0.007566,0.74377,0.99644,0.11644,0.002821,0.86833,0.99644,Side,,,,,
archery/20843___eb21a6079bba48f788fce3d60483921b.mp4,87,195,archery,0.069889,0.16098,0.92629,0.85437,0.11016,0.14479,0.88601,0.85437,side,,,,,
archery/2223___d508e505341c43aaaf00eb61d836bf98.mp4,169,182,archery,0.016401,0.18713,0.97658,0.76375,0.027823,0.21302,0.97658,0.76375,Side,,,,,
archery/2223___d508e505341c43aaaf00eb61d836bf98.mp4,481,746,archery,0.033534,0.23243,0.95945,0.73463,0.0049793,0.19683,0.9823,0.73463,Side,,,,,
archery/22277___57e21e43c2dd4f219c61906756c1ea3d.mp4,1,93,archery,0.05,0.046379,0.75,0.93711,0.05,0.062102,0.75,0.93711,Back,,,,,
archery/23565___3032c001adf744c5b23274465eb5c78c.mp4,3,115,archery,0.31131,0.08097,0.40252,0.81132,0.27777,0,0.52551,0.81132,Back,,,,,
archery/24300___2606a5f32aa74e4fae860162e33da191.mp4,64,71,archery,0.016795,0.007566,0.97509,0.96797,0.020354,0.007566,0.97509,0.96797,Side,,,,,
archery/25888___c633c455c7be4afe84e6bb5e12ff7add.mp4,1,113,archery,0.26659,0.062102,0.68204,0.87107,0.23864,0.049523,0.72676,0.87107,Side,,,,,
